citycode,cityname,statecode,countrycode,latitude,longitude,active,searchorigin,searchdestination,wtforigin,wtfdestination
cit,cityName,st,co,(null),(null),(null),(null),(null),(null),(null)
AAA,Anaa,,PF,-17.352500000000003,-145.51,1,183,473,68,34
AAB,Arrabury,QL,AU,-26.691111111111113,141.04722222222222,0,0,0,0,0
AAC,El Arish,,EG,31.073333333333334,33.83583333333333,1,0,0,0,0
AAD,Adado,,SO,6.096111111111111,46.6375,1,0,0,1,1
AAE,Annaba,,DZ,36.82222222222222,7.809166666666666,1,35738,47805,83,96
AAF,Apalachicola,FL,US,29.733333333333334,-85.03333333333333,0,0,0,0,0
AAG,Arapoti,PR,BR,-24.103611111111114,-49.79,0,0,0,0,0
AAH,Aachen,,DE,50.823055555555555,6.186388888888889,0,287,522,0,0
AAI,Arraias,TO,BR,-12.916666666666666,-46.93333333333333,0,0,0,0,0
AAJ,Awaradam,,SR,3.9,-55.36666666666667,0,0,0,0,0
AAK,Aranuka,,KI,0.18527777777777776,173.63694444444442,1,0,0,2,2
AAL,Aalborg,,DK,57.1,9.85,1,288090,299136,2050,2002
AAM,Mala Mala,,ZA,-24.818055555555556,31.544722222222223,0,0,0,0,0
AAN,Al Ain,,AE,24.261666666666667,55.60916666666667,1,644259,665390,18,17
AAO,Anaco,,VE,9.416666666666666,-64.46666666666667,0,0,0,0,0
AAP,Samarinda,,ID,-0.37305555555555553,117.25083333333333,1,4010,3391,30,32
AAQ,Anapa,,RU,45.00222222222222,37.34722222222222,0,0,0,0,0
AAR,Aarhus,,DK,56.15,10.216666666666667,1,185045,180155,794,822
AAS,Apalapsili,,ID,-3.9166666666666665,139.25,0,0,0,0,0
AAT,Altay,,CN,47.75055555555556,88.08583333333333,1,1028,5669,111,109
AAU,Asau,,WS,-13.458333333333332,-172.6,0,0,0,0,0
AAV,Surallah,,PH,6.333333333333333,124.76666666666667,0,0,0,0,0
AAX,Araxa,MG,BR,-19.563333333333333,-46.96027777777778,1,517,533,22,14
AAY,Al Ghaydah,,YE,16.19361111111111,52.17305555555555,1,0,0,59,59
AAZ,Quetzaltenango,,GT,14.863888888888889,-91.52027777777778,1,1042,1643,12,16
ABA,Abakan,,RU,53.74,91.385,1,9917,5368,66,62
ABB,Asaba,,NG,6.203055555555555,6.6672222222222235,1,1188,1688,45,42
ABC,Albacete,,ES,38.994166666666665,-1.8583333333333334,1,12,33,0,0
ABD,Abadan,,IR,30.371111111111112,48.22833333333333,1,0,0,52,55
ABE,Allentown/Bethlehem/Easton,PA,US,40.65222222222222,-75.44083333333333,1,152908,110015,743,646
ABF,Abaiang,,KI,1.3816666666666666,173.14749999999998,1,0,0,2,2
ABG,Abingdon Downs,QL,AU,-17.666666666666668,143.2,0,0,0,0,0
ABH,Alpha,QL,AU,-23.7,146.58333333333334,0,0,0,0,0
ABI,Abilene,TX,US,32.416666666666664,-99.68333333333334,1,30198,26479,191,220
ABJ,Abidjan,,CI,5.261388888888889,-3.926388888888889,1,585428,815746,1154,1133
ABK,Kebri Dehar,,ET,6.733888888888889,44.25527777777778,0,9,8,0,0
ABL,Ambler,AK,US,67.10722222222222,-157.85333333333332,1,6,9,3,3
ABM,Bamaga,QL,AU,-10.950833333333332,142.45944444444444,1,342,438,66,78
ABN,Albina,,SR,5.5166666666666675,-54.05,0,0,0,0,0
ABO,Aboisso,,CI,5.466666666666667,-3.2,0,0,0,0,0
ABP,Atkamba,,PG,-6.066666666666666,141.1,0,0,0,0,0
ABQ,Albuquerque,NM,US,35.04055555555556,-106.60944444444443,1,584953,565879,5341,5272
ABR,Aberdeen,SD,US,45.453611111111115,-98.42555555555556,1,12509,14209,28,28
ABS,Abu Simbel,,EG,22.375833333333333,31.611666666666668,1,10089,15944,55,73
ABT,Al Baha,,SA,20.296111111111113,41.634166666666665,1,23549,18118,119,121
ABU,Atambua,,ID,-9.075,124.9038888888889,1,0,0,3,3
ABV,Abuja,,NG,9.006666666666666,7.263055555555556,1,639394,644275,463,464
ABW,Abau,,PG,-10.166666666666666,148.7,0,0,0,0,0
ABX,Albury,NS,AU,-36.06777777777778,146.95805555555555,1,80654,30433,184,179
ABY,Albany,GA,US,31.535555555555558,-84.19444444444444,1,19011,17548,164,167
ABZ,Aberdeen,,GB,57.20416666666667,-2.200277777777778,1,495786,361053,8052,9129
ACA,Acapulco,,MX,16.756944444444443,-99.7538888888889,1,201443,304283,403,368
ACB,Bellaire,MI,US,44.983333333333334,-85.20277777777778,0,0,0,0,0
ACC,Accra,,GH,5.605277777777777,-0.16666666666666666,1,1685491,1898125,924,982
ACD,Acandi,,CO,8.516666666666667,-77.3,0,0,0,0,0
ACE,Lanzarote,,ES,28.945555555555554,-13.605277777777777,1,665104,1239406,6283,6239
ACF,Alaer,,CN,40.44944444444444,81.2675,1,0,9,46,42
ACH,Altenrhein,,CH,47.485,9.560833333333335,1,2910,3397,32,32
ACI,Alderney,,GB,49.706944444444446,-2.215555555555556,1,407,1392,6,6
ACJ,Anuradhapura,,LK,8.3,80.42666666666668,0,0,0,0,0
ACK,Nantucket,MA,US,41.253055555555555,-70.06027777777777,1,18610,21121,1177,1237
ACL,Aguaclara,,CO,4.75,-73.0,0,0,0,0,0
ACM,Arica,,CO,-2.1333333333333333,-71.78333333333333,0,0,0,0,0
ACN,Ciudad Acuna,,MX,29.333055555555557,-101.09916666666666,0,0,0,0,0
ACO,Cobano,,CR,9.691944444444445,-85.09666666666666,0,0,0,0,0
ACP,Maragheh,,IR,37.34805555555556,46.13305555555556,1,0,0,2,2
ACR,Araracuara,,CO,-0.6008333333333333,-72.3963888888889,0,0,0,0,0
ACS,Achinsk,,RU,56.26972222222222,90.57194444444444,0,0,0,0,0
ACT,Waco,TX,US,31.616666666666667,-97.23333333333333,1,21409,17663,321,295
ACU,Achutupo,,PA,8.433333333333334,-77.96666666666667,0,0,0,0,0
ACV,Arcata/Eureka,CA,US,40.97805555555556,-124.1086111111111,1,35448,32198,145,132
ACX,Xingyi,,CN,25.085555555555555,104.95944444444444,1,1968,2652,117,120
ACY,Atlantic City,NJ,US,39.36277777777778,-74.4263888888889,1,56237,46279,199,206
ACZ,Zabol,,IR,31.098333333333333,61.54388888888889,1,0,0,3,3
ADA,Adana,,TR,36.98222222222223,35.280277777777776,1,566922,560945,3157,3156
ADC,Andakombe,,PG,-7.15,145.75,0,0,0,0,0
ADD,Addis Ababa,,ET,8.977777777777778,38.79944444444444,1,2596564,1932728,6289,6324
ADE,Aden,,YE,12.829444444444444,45.028888888888886,1,5,6,366,188
ADF,Adiyaman,,TR,37.731388888888894,38.46888888888889,1,13667,15118,76,77
ADG,Adrian,MI,US,41.9,-84.03333333333333,0,0,0,0,0
ADH,Aldan,,RU,58.60277777777778,125.40666666666667,0,0,0,0,0
ADI,Arandis,,NA,-22.4,15.0,0,0,0,0,0
ADK,Adak Island,AK,US,51.88111111111111,-176.6483333333333,1,118,270,31,15
ADL,Adelaide,SA,AU,-34.93333333333333,138.6,1,3370834,2758387,5888,5980
ADM,Ardmore,OK,US,34.3,-97.01666666666667,1,0,0,0,0
ADN,Andes,,CO,5.666666666666667,-75.88333333333334,0,0,0,0,0
ADO,Andamooka,SA,AU,-30.433888888888887,137.13722222222222,0,0,0,0,0
ADP,Ampara,,LK,7.3374999999999995,81.62583333333333,0,0,0,0,0
ADQ,Kodiak,AK,US,57.75,-152.48333333333332,1,6661,7323,137,100
ADR,Andrews,SC,US,33.45,-79.56666666666666,0,0,0,0,0
ADT,Ada,OK,US,34.8,-96.66666666666667,0,0,0,0,0
ADU,Ardabil,,IR,38.32555555555556,48.424166666666665,1,0,0,23,23
ADV,Addeain,,SD,11.402222222222223,26.11861111111111,0,0,0,0,0
ADW,Camp Springs,MD,US,38.80888888888889,-76.87083333333332,0,0,0,0,0
ADX,St Andrews,,GB,56.36666666666667,-2.8666666666666667,0,0,0,0,0
ADY,Alldays,,ZA,-22.666666666666668,29.1,0,0,0,0,0
ADZ,San Andres Island,,CO,12.58361111111111,-81.71111111111111,1,267304,510470,3117,3151
AEA,Abemama,,KI,0.4905555555555556,173.82999999999998,1,0,0,3,3
AEB,Baise,,CN,23.72,106.96027777777778,1,436,503,25,24
AEE,Adareil,,SS,10.061111111111112,32.96194444444445,0,0,0,0,0
AEG,Aek Godang,,ID,1.4,99.43,1,0,0,0,0
AEH,Abeche,,TD,13.8475,20.844444444444445,0,0,0,0,0
AEK,Aseki,,PG,-7.366666666666666,146.28333333333333,0,0,0,0,0
AEL,Albert Lea,MN,US,43.68333333333333,-93.36666666666666,0,0,0,0,0
AEM,Amgu,,RU,45.8425,137.67777777777778,1,0,0,1,1
AEO,Aioun el Atrouss,,MR,16.7,-9.65,0,0,0,0,0
AEQ,Chifeng,,CN,43.90833333333333,120.15027777777779,0,0,0,0,0
AER,Sochi,,RU,43.45,39.95666666666667,1,1081255,624504,1179,1175
AES,Alesund,,NO,62.56027777777778,6.110277777777777,1,258477,154359,1701,1773
AET,Allakaket,AK,US,66.55055555555555,-152.63194444444446,1,0,0,4,6
AEU,Abu Musa Island,,IR,25.875555555555557,55.0325,1,0,0,1,1
AEX,Alexandria,LA,US,31.316666666666666,-92.51666666666667,1,43003,40520,420,422
AEY,Akureyri,,IS,65.65861111111111,-18.072222222222223,1,17008,26809,145,145
AFA,San Rafael,MD,AR,-34.58861111111111,-68.40277777777779,1,5803,10390,37,38
AFD,Port Alfred,,ZA,-33.583333333333336,26.883333333333333,0,0,0,0,0
AFI,Amalfi,,CO,6.916666666666667,-75.06666666666666,0,0,0,0,0
AFK,Ampara,,LK,7.291944444444444,81.63527777777779,0,0,1,0,0
AFL,Alta Floresta,MT,BR,-9.866111111111111,-56.10611111111111,1,1192,1697,10,9
AFN,Jaffrey,NJ,US,42.80555555555555,-72.00333333333333,0,0,0,0,0
AFO,Afton,WY,US,42.71666666666667,-110.93333333333334,0,0,0,0,0
AFR,Afore,,PG,-9.133333333333333,148.38333333333333,0,0,0,0,0
AFS,Zarafshan,,UZ,41.615833333333335,64.23305555555555,0,0,0,0,0
AFT,Afutara,,SB,-9.19111111111111,160.94916666666668,0,0,0,0,0
AFY,Afyon,,TR,38.733333333333334,30.6,0,0,0,0,0
AFZ,Sabzevar,,IR,36.16861111111111,57.59638888888889,0,0,0,0,0
AGA,Agadir,,MA,30.325,-9.413055555555555,1,443931,729300,2804,2629
AGD,Anggi,,ID,-1.3833333333333333,133.86666666666667,0,0,0,0,0
AGE,Wangerooge,,DE,53.78722222222222,7.9158333333333335,0,0,0,0,0
AGF,Agen,,FR,44.17472222222222,0.5905555555555556,0,0,0,0,0
AGG,Angoram,,PG,-4.066666666666666,144.1,0,0,0,0,0
AGH,Angelholm/Helsingborg,,SE,56.29611111111111,12.847222222222223,1,24521,18794,284,276
AGI,Wageningen,,SR,5.7666666666666675,-56.68333333333333,0,0,0,0,0
AGJ,Aguni,,JP,26.583333333333332,127.25,0,0,0,0,0
AGK,Kagua,,PG,-6.333333333333333,143.83333333333334,0,0,0,0,0
AGL,Wanigela,,PG,-9.333333333333334,149.15,0,0,0,0,0
AGM,Tasiilaq,,GL,65.6125,-37.618611111111115,1,0,0,0,0
AGN,Angoon,AK,US,57.495,-134.56722222222223,1,25,36,77,78
AGO,Magnolia,AR,US,33.233333333333334,-93.21666666666667,0,0,0,0,0
AGP,Malaga,,ES,36.72138888888889,-4.421388888888889,1,4974701,4894702,19135,19317
AGQ,Agrinion,,GR,38.60194444444445,21.351111111111113,0,0,0,0,0
AGR,Agra,UP,IN,27.15583333333333,77.96083333333334,1,0,0,15,17
AGS,Augusta,GA,US,33.36666666666667,-81.96666666666667,1,105499,81125,1478,1448
AGT,Ciudad del Este,,PY,-25.455555555555556,-54.843611111111116,1,6584,8919,25,24
AGU,Aguascalientes,,MX,21.705555555555556,-102.31777777777778,1,208379,200193,864,903
AGV,Acarigua,,VE,9.55,-69.23333333333333,1,0,0,4,4
AGW,Agnew,QL,AU,-12.15,142.15,0,0,0,0,0
AGX,Agatti Island,LD,IN,10.823611111111111,72.17611111111111,1,0,0,2,2
AGZ,Aggeneys,,ZA,-29.283333333333335,18.816666666666666,0,0,0,0,0
AHB,Abha,,SA,18.240277777777777,42.656666666666666,1,264475,221083,589,446
AHC,Herlong,CA,US,40.15,-120.13333333333334,0,0,0,0,0
AHE,Ahe,,PF,-14.428055555555554,-146.25694444444446,1,72,141,68,46
AHF,Arapahoe,NE,US,40.333333333333336,-99.9,0,0,0,0,0
AHH,Amery,WI,US,45.28333333333333,-92.36666666666666,0,0,0,0,0
AHI,Amahai,,ID,-3.3333333333333335,128.91666666666666,0,0,0,0,0
AHJ,Aba Hongyuan,,CN,32.53138888888889,102.35194444444444,1,21,87,20,20
AHL,Aishalton,,GY,2.4833333333333334,-59.31666666666667,0,0,0,0,0
AHM,Ashland,OR,US,42.19027777777777,-122.66055555555556,0,0,0,0,0
AHN,Athens,GA,US,33.94944444444444,-83.32194444444444,0,12,3,0,0
AHO,Alghero,,IT,40.63027777777778,8.289722222222222,1,112563,104962,210,206
AHS,Ahuas,,HN,15.441666666666666,-84.42500000000001,0,0,0,0,0
AHU,Al Hoceima,,MA,35.17722222222222,-3.8394444444444447,1,6446,10342,128,123
AHW,Saih Rawl,,OM,21.342777777777776,56.76555555555556,0,0,0,0,0
